media_id	_c1	type_name	category_name_array	tag_name_array	director_name_array	actor_name_array	country	language	pubdate	created_time	time_length	rate	fee	vip_id	is_single	is_clip	vender_name	_c18
11029591923	男生对你忽冷忽热，女生们要注意，最后一种最危险	生活	["情感"]	["情感"]	NULL	NULL	NULL	NULL	2019-11-13 00:00:00	1574129770	193	0.0	0	NULL	0	0	爱奇艺	NULL
11029593723	一直是巨蟹座心中偶像的星座，感觉他自带主角光芒，干什么都很帅	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-11-15 00:00:00	1574129857	55	0.0	0	NULL	0	0	爱奇艺	NULL
11029595523	备考换“姿势”了，赶走困意，教室走廊变考研“朗读点”	生活	["奇闻"]	["国内","奇人奇事","奇闻"]	NULL	NULL	国内	NULL	2019-11-17 00:00:00	1574129961	117	0.0	0	NULL	0	0	爱奇艺	NULL
11029834923	街边的烤肉摊，每次路过都能闻到一股肉香，吃起来味道也很棒！	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2019-11-25 00:00:00	1574692630	219	0.0	0	NULL	0	0	爱奇艺	NULL
11029867323	用垃圾桶种大蒜的方法，不占空间，种一次一年吃不完，邻居纷纷学	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2019-11-26 00:00:00	1574778943	127	0.0	0	NULL	0	0	爱奇艺	NULL
11029885323	因没有女孩愿意嫁给他，如今67岁仍孤身一人，自称不想去养老院	生活	["休闲"]	NULL	NULL	NULL	NULL	NULL	2019-11-27 00:00:00	1574815100	266	0.0	0	NULL	0	0	爱奇艺	NULL
11029933923	农村姑娘种出了“红薯王”十三妹直呼比人脸还大，这下开心坏了	生活	["休闲"]	["社会","趣闻轶事"]	NULL	NULL	NULL	NULL	2019-11-28 00:00:00	1574931901	215	0.0	0	NULL	0	0	爱奇艺	NULL
11029968123	恋爱中一点都不顾水瓶座情绪的星座，只顾自己吃喝玩乐，让人心寒	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-11-29 00:00:00	1575009335	51	0.0	0	NULL	0	0	爱奇艺	NULL
11029986123	实测天丝系列售价最低但销售量最高的禅主线数值展示	生活	["休闲"]	["服装","服饰","休闲"]	NULL	NULL	NULL	NULL	2019-11-29 00:00:00	1575032809	204	0.0	0	NULL	0	0	爱奇艺	NULL
11030002323	给玉树施肥，有讲究，这样做生长更旺盛	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2019-11-30 00:00:00	1575095742	65	0.0	0	NULL	0	0	爱奇艺	NULL
11030041923	越南奇葩“泥浆浴”，男女一起混洗，洗完皮肤滑溜溜的	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-12-01 00:00:00	1575210750	59	0.0	0	NULL	0	0	爱奇艺	NULL
11030184123	一群野猪误入陷阱，吃的正欢大门突然关上，猪的反应简直太壮观	生活	["宠物"]	["国内","奇趣小宠","宠物"]	NULL	NULL	国内	NULL	2019-12-06 00:00:00	1575614563	89	0.0	0	NULL	0	0	爱奇艺	一群野猪误入陷阱，大门重重掉落，猪群们的反应可谓十分壮观！
11030203923	好心小伙将路边可怜女孩带回家，不多久她妈妈找来，小伙好运来了	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-12-06 00:00:00	1575643100	550	0.0	0	NULL	0	0	爱奇艺	NULL
11030252523	375卡利普索水上公园的黑洞水滑道	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-12-08 00:00:00	1575786944	86	0.0	0	NULL	0	0	爱奇艺	NULL
11030268723	广场舞《高山青》音乐甜美舞蹈抒情简单好看	生活	["舞蹈"]	["舞蹈"]	NULL	NULL	NULL	NULL	2019-12-09 00:00:00	1575844329	140	0.0	0	NULL	0	0	爱奇艺	NULL
11030346123	65元就能买100只的“亿头鲍”长什么样？	生活	["美食"]	["国内","美食"]	NULL	NULL	国内	NULL	2019-12-05 00:00:00	1576046350	285	0.0	0	NULL	0	0	爱奇艺	用65元100只的“亿头鲍”熬一碗鲍鱼粥是什么味道？
11030535123	父亲不让女儿上大学，把机会让给了捡来的孩子，得知真相女儿哭了	生活	["情感"]	["情感"]	NULL	NULL	NULL	NULL	2019-12-16 00:00:00	1576478105	355	0.0	0	NULL	0	0	爱奇艺	NULL
11030592723	小影花49元买的一身红色古装服，晚上穿着去会会小浪看他啥反应？	生活	["休闲"]	["休闲","国内"]	NULL	NULL	国内	NULL	2019-12-17 00:00:00	1576593390	132	0.0	0	NULL	0	0	爱奇艺	NULL
11030670123	活鱼和辣椒一起泡你见过吗？它叫泡鱼辣椒	生活	["美食"]	["国内","美食"]	NULL	NULL	国内	NULL	2019-12-19 00:00:00	1576766018	69	0.0	0	NULL	0	0	爱奇艺	NULL
11030731323	不揉面，不和面，半碗玉米面做一道奶香四溢的早餐饼，好吃易消化	生活	["美食"]	["国内","美食"]	NULL	NULL	国内	NULL	2019-12-21 00:00:00	1576910210	67	0.0	0	NULL	0	0	爱奇艺	NULL
11030747523	俗语“龙长虎短，荣华富贵”，手指长短有讲究？看看你是好还是坏	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2019-12-21 00:00:00	1576938819	164	0.0	0	NULL	0	0	爱奇艺	NULL
11030796123	地宝当家：这家的羊汤可是不一般啊，营养美味鲜味十足	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2019-12-23 00:00:00	1577082901	447	0.0	0	NULL	0	0	爱奇艺	NULL
11030889723	做好这3件事的男人，会让女人很喜欢，尤其第2件	生活	["情感"]	["单身空间","国内","婚姻家庭","情感"]	NULL	NULL	国内	NULL	2019-12-26 00:00:00	1577370912	89	0.0	0	NULL	0	0	爱奇艺	女人会很喜欢做好3件事的男人，你知道吗
11030959923	妹孩子和哥孩子生日差一天，妹送哥孩子厚红包，打开红包妹跑了	生活	["情感"]	["情感"]	NULL	NULL	NULL	NULL	2019-12-29 00:00:00	1577601254	436	0.0	0	NULL	0	0	爱奇艺	NULL
11031022923	我是一个动手小达人	生活	["休闲","奇闻"]	["休闲","创意发明","国内","奇人奇事","奇闻"]	NULL	NULL	国内	NULL	2020-01-02 00:00:00	1577803924	590	0.0	0	NULL	0	0	爱奇艺	NULL
11031075123	姑娘忘拿包，大叔耐心等待，却遭姑娘误会，得知真相知错了	生活	["情感"]	["国内","婚姻家庭","情感"]	NULL	NULL	国内	NULL	2020-01-02 00:00:00	1577947229	412	0.0	0	NULL	0	0	爱奇艺	NULL
11031260523	阿克苏185纸皮核桃	生活	["美食"]	["家常主食","美食"]	NULL	NULL	NULL	NULL	2020-01-05 00:00:00	1578177129	18	0.0	0	NULL	0	0	爱奇艺	NULL
11031283923	湖北下岗大哥街头卖砂锅手擀面，纯骨头汤煮面，7元一碗，很好吃	生活	["美食"]	["国内","家常主食","美食"]	NULL	NULL	国内	NULL	2020-01-05 00:00:00	1578234956	169	0.0	0	NULL	0	0	爱奇艺	湖北襄阳独家秘制砂锅手擀面，7元一碗，冬天来一碗，暖心又暖胃
11031357723	此种手相者，有非常好的异性缘，桃花运非常旺盛	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-01-08 00:00:00	1578467390	52	0.0	0	NULL	0	0	爱奇艺	NULL
11031373923	不管多臭的鞋子，一个小方法，鞋臭立马全部消失，越早学会越受益	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-01-08 00:00:00	1578494507	141	0.0	0	NULL	0	0	爱奇艺	NULL
11031377523	最新广场舞《忙忙碌碌一辈子》都是为了一个家，好听好看	生活	["舞蹈"]	["舞蹈"]	NULL	NULL	NULL	NULL	2020-01-09 00:00:00	1578524363	196	0.0	0	NULL	0	0	爱奇艺	NULL
11031388323	卫生间放一支烟，竟然这么神奇，赶紧在厕所里放一支试试	生活	["综合"]	["国内"]	NULL	NULL	国内	NULL	2020-01-09 00:00:00	1578574284	84	0.0	0	NULL	0	0	爱奇艺	NULL
11031402723	不管去超市还是菜市场，这4种蔬菜再便宜也别买，看完叮嘱家里人	生活	["综合"]	["国内"]	NULL	NULL	国内	NULL	2020-01-09 00:00:00	1578593955	109	0.0	0	NULL	0	0	爱奇艺	菜场买菜，看到这4种菜甩头就走，再便宜也别买，菜贩自己也不吃，生活小妙招，生活小技巧，居家小窍门，希望能帮助到大家，谢谢！
11031417123	姑娘去地里烤红薯，用最原始的方法去烤，又香又甜真好吃	生活	["休闲"]	["休闲","国内"]	NULL	NULL	国内	NULL	2020-01-10 00:00:00	1578642596	172	0.0	0	NULL	0	0	爱奇艺	小秀去地里烤红薯，用最原始的方法去烤，又香又甜真好吃
11031436923	不管毛巾多脏多黄，撒上一把它，毛巾比新买的还干净，回家快试试	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-01-10 00:00:00	1578666961	143	0.0	0	NULL	0	0	爱奇艺	NULL
11031516123	乡村真好山里泉水可以直接喝，农家菜是天然无公害，摘出来就想吃	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2020-01-14 00:00:00	1578954720	173	0.0	0	NULL	0	0	爱奇艺	NULL
11031552123	这种手相的人，异性缘很好，一生也会结几次婚	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-01-15 00:00:00	1579070087	46	0.0	0	NULL	0	0	爱奇艺	NULL
11032043523	大年初一财运旺，《鼠年大吉好运来》！春节贺岁广场舞开门纳福啦	生活	["舞蹈"]	["舞蹈"]	NULL	NULL	NULL	NULL	2020-01-25 00:00:00	1579905421	191	0.0	0	NULL	0	0	爱奇艺	NULL
11032279323	不管家里多有钱，农村2种人不能买车，买了也白买，希望其中没你	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-02-05 00:00:00	1580913227	153	0.0	0	NULL	0	0	爱奇艺	NULL
11032300923	洋葱是宝，加1把黄豆教你好吃做法，又脆又香，一家人吃的太香了	生活	["美食"]	["国内","美食","鲁菜"]	NULL	NULL	国内	NULL	2020-02-06 00:00:00	1580999719	132	0.0	0	NULL	0	0	爱奇艺	洋葱加一把黄豆，这样吃太香了，不炒不煎，上桌比红烧肉还解馋
11032335123	鬣狗觅食遇上穿山甲，三只鬣狗轮着咬，穿山甲皮都没有破！	生活	["奇闻"]	["奇闻","自然奇观"]	NULL	NULL	NULL	NULL	2019-11-17 00:00:00	1581143701	93	0.0	0	NULL	0	0	爱奇艺	NULL
11032475523	史上最简单的蛋糕	生活	["美食"]	["家常主食","美食"]	NULL	NULL	NULL	NULL	2020-02-14 00:00:00	1581633291	18	0.0	0	NULL	0	0	爱奇艺	NULL
11032765323	2月拆快递！特殊时期久违的开箱！悦总全程抢拆	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-02-25 00:00:00	1582641370	246	0.0	0	NULL	0	0	爱奇艺	NULL
11032779723	宅在家里一个多月，小两口今天算了一笔账，看看这个月能省多少钱	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-02-26 00:00:00	1582698950	330	0.0	0	NULL	0	0	爱奇艺	NULL
11032794123	经常吃苹果的要留心，现在清楚还不算晚，越早转达家里人越好！	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-02-26 00:00:00	1582727899	155	0.0	0	NULL	0	0	爱奇艺	NULL
11032808523	动感广场舞《一生与你擦肩而过》音乐好听，流行优美，好看好学	生活	["舞蹈"]	["舞蹈"]	NULL	NULL	NULL	NULL	2020-02-27 00:00:00	1582785562	163	0.0	0	NULL	0	0	爱奇艺	NULL
11032822923	曾被炒到千万一只的藏獒，如今白送都没人要！真相让人唏嘘不已	生活	["宠物"]	["宠物"]	NULL	NULL	NULL	NULL	2020-02-27 00:00:00	1582814087	101	0.0	0	NULL	0	0	爱奇艺	NULL
11032876923	农村“伪夫妻”越来越多，为什么会有这种怪象？看完视频瞬间懂了	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-02-29 00:00:00	1582986769	220	0.0	0	NULL	0	0	爱奇艺	NULL
11033026323	养生堂	生活	["健康"]	["健康","生活"]	NULL	NULL	NULL	NULL	2020-03-06 00:00:00	1583495187	2770	0.0	0	NULL	0	0	腾讯	NULL
11033037123	当妈妈本就是件赌上性命困难而伟大的事，世界请不要让她们心寒。	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-03-07 00:00:00	1583562789	68	0.0	0	NULL	0	0	爱奇艺	NULL
11033163123	用4根筷子做面条，不擀面不抻面，嚼劲十足，香辣鲜香3盘不够吃	生活	["美食"]	["国内","美食"]	NULL	NULL	国内	NULL	2020-03-12 00:00:00	1584023697	100	0.0	0	NULL	0	0	爱奇艺	用4根筷子做面条，不擀面不抻面，嚼劲十足，香辣鲜香3盘不够吃
11033285523	每20天给多肉，施一次这种“肥”，轻松冒出小嫩肉	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-03-17 00:00:00	1584455750	99	0.0	0	NULL	0	0	爱奇艺	NULL
11033359323	厨师长教你做红烧豆腐丸子，香软好吃，酱汁味浓，大人小孩都爱吃	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2020-03-20 00:00:00	1584688699	65	0.0	0	NULL	0	0	爱奇艺	NULL
11033416923	抓紧丢一把食盐在卫生间里，用途真厉害，不是迷信，早学会不吃亏	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-03-22 00:00:00	1584887567	101	0.0	0	NULL	0	0	爱奇艺	NULL
11033571723	女子谎称算命大师，把大妈带至车内骗走现金，监控拍下受骗过程！	生活	["奇闻"]	["国内","奇人奇事","奇闻"]	NULL	NULL	国内	NULL	2020-03-27 00:00:00	1585291344	390	0.0	0	NULL	0	0	爱奇艺	NULL
11033663523	微信出现异地登录情况别担心，微信这开关记得要关闭，看看不吃亏	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-03-30 00:00:00	1585578759	80	0.0	0	NULL	0	0	爱奇艺	NULL
11033695923	厨师长教你用南瓜做美食，加点糯米粉，出锅鲜甜软糯，上桌抢着吃	生活	["美食"]	["美食"]	NULL	NULL	NULL	NULL	2020-04-01 00:00:00	1585739109	75	0.0	0	NULL	0	0	爱奇艺	NULL
11033708523	渣男许你全世界，全凭一张嘴	生活	["情感"]	["情感"]	NULL	NULL	NULL	NULL	2020-04-01 00:00:00	1585751502	72	0.0	0	NULL	0	0	爱奇艺	NULL
11033710323	85岁爷爷没吃过椰子，小霞赶集特意买了一个，老公费好大劲才打开	生活	["休闲","情感"]	["休闲","国内","婚姻家庭","情感"]	NULL	NULL	国内	NULL	2020-04-01 00:00:00	1585751749	316	0.0	0	NULL	0	0	爱奇艺	小霞赶集回来买了啥？老公费了好大劲才打开，倒一碗给爷爷先尝尝
11033748123	想要三角梅开花多，必须从小抓起，错过了难拯救	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-04-02 00:00:00	1585866671	97	0.0	0	NULL	0	0	爱奇艺	NULL
11033803923	大闸上打鱼真气派，看大叔一网打了多少好鱼，让人羡慕	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-04-05 00:00:00	1586068522	234	0.0	0	NULL	0	0	爱奇艺	NULL
11033834523	你家有电饭锅蒸笼吗？这个用途太厉害了，拿钱也难买， 知道不亏	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-04-06 00:00:00	1586183572	132	0.0	0	NULL	0	0	爱奇艺	NULL
11033854323	口罩已出口38.6亿只 中国加倍援助世界各国！	生活	["奇闻"]	["国内","奇人奇事","奇闻"]	NULL	NULL	国内	NULL	2020-04-07 00:00:00	1586241250	53	0.0	0	NULL	0	0	爱奇艺	NULL
11033913723	一瓶普通可乐瞬间能变出花球，花球藏在哪里？学会后骗朋友玩玩	生活	["休闲"]	["休闲","魔术 "]	NULL	NULL	NULL	NULL	2020-04-09 00:00:00	1586424917	88	0.0	0	NULL	0	0	爱奇艺	NULL
11034014523	想给兰花防止病害和杀菌，就用“它”，最靠谱	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-04-11 00:00:00	1586590425	104	0.0	0	NULL	0	0	爱奇艺	NULL
11034048723	32步入门鬼步舞《老妹你真美》老歌新跳，欢快好看，附分解	生活	["舞蹈"]	["舞蹈"]	NULL	NULL	NULL	NULL	2020-04-13 00:00:00	1586730625	186	0.0	0	NULL	0	0	爱奇艺	NULL
11034129723	基质栽培草莓，要先把基质配料按比例配置好，再安装好滴灌设施	生活	["休闲"]	["休闲"]	NULL	NULL	NULL	NULL	2020-04-16 00:00:00	1587009307	164	0.0	0	NULL	0	0	爱奇艺	NULL
11034151323	粉丝留言：如何用家里的汰渍洗衣粉做起泡胶？不用小苏打，护理液	生活	["综合"]	NULL	NULL	NULL	NULL	NULL	2020-04-16 00:00:00	1587048271	163	0.0	0	NULL	0	0	爱奇艺	NULL
