video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
1099035.0,贝瓦儿歌KTV,幼儿,"[动画, 儿歌, 益智, 早教, 亲子, 其他]","[课堂, 教育, 系列剧, 国语, 4-6岁, 朋友, 家庭, 动画, 善良, 习惯养成, 可爱, 唱歌, 儿童, 亲子互动, 欢乐, 跳舞, 0-3岁, 经典, 儿歌, 婴幼儿, 艺术]","","",大陆,国语,2014-10-27 00:00:00,2015-03-10 13:11:56,151.0,7.1,0.0,NaN,0.0,0.0,爱奇艺,集合原唱和伴奏版，经典儿歌学唱最佳课堂。,1,1,1,1,1,1,1,1,1871,"","","","",""
1105035.0,肝吸虫病隐患多 预防疾病少吃鱼虾,健康,[预防],[疾病预防],"","","","",2014-12-04 00:00:00,2015-03-10 13:15:33,179.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,肝吸虫病隐患多 预防疾病少吃鱼虾,"","","","","","","","",1871,"","","","",""
1121835.0,美军机高强度抵近侦察 为摧毁中国雷达做准备,军事,[防务],[防务观察],"","","","",2014-08-27 00:00:00,2015-03-10 13:24:25,382.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦!,"","","","","","","","",1871,"","","","",""
1170435.0,空降兵作战遇尴尬 如何才能完成敌后突袭任务,军事,[大陆],[大陆],"","",大陆,"",2014-11-05 00:00:00,2015-03-10 13:50:56,172.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦!,"","","","","","","","",1871,"","","","",""
1183635.0,绝对自信：美军公开科幻濒海战斗舰内景,军事,[海军],[海军],"","","","",2014-08-08 00:00:00,2015-03-10 13:57:29,350.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1871,"","","","",""
1190835.0,中国维和工兵黎以边境扫雷 开辟安全通道,军事,[大陆],[大陆],"","",大陆,"",2014-12-02 00:00:00,2015-03-10 14:01:05,92.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1871,"","","","",""
1198635.0,豆浆搭配豌豆江米 健脾胃,健康,[综合],[常识],"","","","",2014-06-18 00:00:00,2015-03-10 14:05:12,55.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,豆浆搭配豌豆江米 健脾胃,"","","","","","","","",1871,"","","","",""
1250835.0,缅甸地区冲突中流弹落入中方一侧 损毁房屋,军事,[大陆],[大陆],"","",大陆,"",2015-03-15 00:00:00,2015-03-17 13:53:33,52.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1864,"","","","",""
1323435.0,美国陆战队侦查狙击手射击画面实拍,军事,[综合],[欧美],"","",欧美,"",2015-04-16 00:00:00,2015-04-16 18:30:13,336.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦！,"","","","","","","","",1834,"","","","",""
1327635.0,避孕环能上第二次吗？,健康,[两性],[女性],"","","","",2015-04-18 00:00:00,2015-04-18 17:30:11,54.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,避孕环能上第二次吗？,"","","","","","","","",1832,"","","","",""
1332435.0,笨贼妙探,电影,"[喜剧, 犯罪, 警匪, 家庭, 动作, 惊悚]","[纯爱, 友情, 侦探, 警察局, 中成本, 惊悚片, 蠢贼, 搞笑, 幽默, 人民, 警察, 黑人, 亲情, 盗窃, 卧底, 剧情片, 暧昧, 轻松, 墨西哥, 犯罪片, 都市, 现代, 喜剧片, 动作片, 大盗, 催泪, 震撼]",[莱斯·梅菲尔德],"[彼得·格林纳, 马丁·劳伦斯, David Chappelle, 卢克·威尔逊]",美国,英语,1999-11-18 00:00:00,2015-04-20 23:30:24,5646.0,9.0,1.0,100201.0,0.0,0.0,爱奇艺,叁年前，天才珠宝大盗，麦尔斯罗根在警察围剿，迫於无奈情况下，把刚到手价值二千万美全的钻石藏在一处建筑工地里。不料，麦尔斯在监牢里蹲过叁年之後，第一件事是必须先取回当年放在工地里的钻石，跟着才要开始好好重新做人，却赫然发现叁年前的工地如今已成洛杉矶警察局。这让麦尔斯情何以堪。当下唯一取回钻石的方法就是混入警局里去，麦尔斯苦思许多旁门左道，却一直不得其门而入。於是，他决定采取最终极的招式...,4,4,4,4,4,4,4,4,1830,"","","","",""
